category,rank,entry,avg_weighted,normalized,judges_scored,judges_total,min_weighted,max_weighted
Category 1 - Best of What We've Built,,Entry A1,,,0,5,,
Category 1 - Best of What We've Built,,Entry A2,,,0,5,,
Category 1 - Best of What We've Built,,Entry A3,,,0,5,,
Category 1 - Best of What We've Built,,Entry A4,,,0,5,,
Category 1 - Best of What We've Built,,Entry A5,,,0,5,,
Category 1 - Best of What We've Built,,Entry A6,,,0,5,,
Category 1 - Best of What We've Built,,Entry A7,,,0,5,,
Category 1 - Best of What We've Built,,Entry A8,,,0,5,,
Category 1 - Best of What We've Built,,Entry A9,,,0,5,,
Category 1 - Best of What We've Built,,Entry A10,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B1,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B2,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B3,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B4,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B5,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B6,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B7,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B8,,,0,5,,
Category 2 - Shark-tank Moonshot Pitches,,Entry B9,,,0,5,,

category,entry,judge,Creativity & Boldness,Business Impact,Feasibility,Scalability,weighted,z_score
Category 1 - Best of What We've Built,Entry A1,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A1,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A1,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A1,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A1,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A2,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A2,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A2,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A2,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A2,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A3,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A3,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A3,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A3,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A3,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A4,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A4,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A4,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A4,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A4,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A5,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A5,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A5,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A5,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A5,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A6,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A6,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A6,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A6,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A6,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A7,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A7,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A7,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A7,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A7,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A8,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A8,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A8,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A8,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A8,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A9,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A9,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A9,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A9,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A9,Craig Sullivan,,,,,,
Category 1 - Best of What We've Built,Entry A10,Mary Erdoes,,,,,,
Category 1 - Best of What We've Built,Entry A10,Mike Urciuoli,,,,,,
Category 1 - Best of What We've Built,Entry A10,Julie Harris,,,,,,
Category 1 - Best of What We've Built,Entry A10,Andy Powell,,,,,,
Category 1 - Best of What We've Built,Entry A10,Craig Sullivan,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B1,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B1,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B1,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B1,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B1,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B2,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B2,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B2,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B2,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B2,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B3,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B3,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B3,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B3,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B3,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B4,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B4,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B4,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B4,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B4,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B5,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B5,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B5,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B5,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B5,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B6,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B6,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B6,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B6,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B6,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B7,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B7,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B7,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B7,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B7,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B8,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B8,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B8,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B8,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B8,Rosa Rita,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B9,Dave Frame,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B9,Martin Marron,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B9,Ben Hesse,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B9,Kristian West,,,,,,
Category 2 - Shark-tank Moonshot Pitches,Entry B9,Rosa Rita,,,,,,
